iter	Passed	Remaining
0	3	978
1	5	802
2	7	745
3	9	712
4	11	691
5	13	679
6	15	668
7	18	659
8	20	652
9	22	647
10	24	642
11	26	639
12	28	637
13	31	633
14	33	628
15	35	625
16	37	623
17	39	620
18	41	616
19	43	613
20	45	611
21	48	608
22	50	605
23	52	602
24	54	599
25	56	596
26	58	593
27	61	594
28	63	591
29	65	589
30	67	586
31	69	583
32	71	581
33	73	578
34	76	575
35	78	573
36	80	570
37	82	568
38	84	565
39	86	562
40	88	560
41	90	558
42	92	555
43	95	553
44	97	551
45	99	548
46	101	546
47	103	543
48	105	541
49	107	538
50	109	536
51	111	533
52	113	531
53	116	528
54	118	526
55	120	524
56	122	522
57	124	519
58	126	517
59	128	515
60	130	512
61	133	510
62	135	508
63	137	506
64	139	505
65	141	503
66	144	500
67	146	498
68	148	496
69	150	494
70	152	491
71	154	489
72	156	487
73	158	485
74	160	482
75	162	480
76	165	478
77	167	475
78	169	473
79	171	471
80	173	469
81	175	466
82	177	464
83	179	462
84	181	460
85	184	458
86	186	456
87	188	454
88	190	451
89	192	449
90	194	447
91	196	444
92	198	442
93	200	440
94	203	438
95	205	436
96	207	433
97	209	431
98	211	429
99	213	426
100	215	424
101	217	422
102	219	420
103	222	418
104	224	416
105	226	414
106	228	412
107	230	409
108	232	407
109	234	405
110	236	403
111	239	401
112	241	399
113	243	397
114	245	394
115	248	393
116	250	391
117	252	389
118	254	387
119	256	385
120	258	382
121	260	380
122	263	378
123	265	376
124	267	374
125	269	372
126	271	369
127	273	367
128	275	365
129	278	363
130	280	361
131	282	359
132	284	357
133	286	355
134	288	353
135	290	350
136	293	348
137	295	346
138	297	344
139	299	342
140	301	340
141	303	338
142	306	336
143	308	334
144	310	332
145	312	329
146	314	327
147	317	325
148	319	323
149	321	321
150	323	319
151	325	317
152	327	314
153	329	312
154	331	310
155	334	308
156	336	306
157	338	303
158	340	301
159	342	299
160	344	297
161	346	295
162	348	293
163	350	291
164	353	288
165	355	286
166	357	284
167	359	282
168	361	280
169	363	278
170	365	276
171	367	273
172	370	271
173	372	269
174	374	267
175	376	265
176	378	263
177	380	260
178	382	258
179	384	256
180	387	254
181	389	252
182	391	250
183	393	248
184	396	246
185	398	243
186	400	241
187	402	239
188	404	237
189	406	235
190	408	233
191	410	231
192	412	228
193	415	226
194	417	224
195	419	222
196	421	220
197	423	218
198	425	215
199	427	213
200	429	211
201	431	209
202	434	207
203	436	205
204	438	203
205	440	200
206	442	198
207	444	196
208	446	194
209	448	192
210	451	190
211	453	188
212	455	185
213	457	183
214	459	181
215	461	179
216	463	177
217	466	175
218	468	173
219	470	171
220	472	168
221	474	166
222	476	164
223	478	162
224	481	160
225	483	158
226	485	156
227	487	153
228	489	151
229	491	149
230	493	147
231	496	145
232	498	143
233	500	141
234	502	138
235	504	136
236	506	134
237	508	132
238	510	130
239	513	128
240	515	126
241	517	124
242	519	121
243	521	119
244	523	117
245	525	115
246	528	113
247	530	111
248	532	109
249	534	106
250	536	104
251	538	102
252	540	100
253	543	98
254	545	96
255	547	94
256	549	91
257	551	89
258	553	87
259	555	85
260	557	83
261	559	81
262	562	79
263	564	76
264	566	74
265	568	72
266	570	70
267	572	68
268	574	66
269	577	64
270	579	61
271	581	59
272	583	57
273	585	55
274	587	53
275	589	51
276	592	49
277	594	47
278	596	44
279	598	42
280	600	40
281	602	38
282	604	36
283	607	34
284	609	32
285	611	29
286	613	27
287	615	25
288	617	23
289	619	21
290	621	19
291	624	17
292	626	14
293	628	12
294	630	10
295	633	8
296	635	6
297	637	4
298	639	2
299	641	0
